id,en_title,season_year,episodes_count,episode_duration,format_destination,release_status
765,Seirei no Moribito,2007,26,25,tv,finished
2008,Mawaru Penguindrum,2011,24,24,tv,finished
6615,Bungou Stray Dogs: DEAD APPLE,2018,1,90,movie,finished
2624,Hibike! Euphonium,2015,13,24,tv,finished
2618,Durarara!!x2 Ketsu,2016,12,24,tv,finished
12179,Akatsuki no Yona OVA,2015,3,23,ova,finished
5071,Meitantei Conan: Baker Street no Bourei,2002,1,100,movie,finished
3085,Wotaku ni Koi wa Muzukashii,2018,11,23,tv,finished
12338,Mahoutsukai no Yome: Hoshi Matsu Hito,2016,3,24,ova,finished
5027,Kidou Keisatsu Patlabor 2: The Movie,1993,1,114,movie,finished
6530,Tamayura: Sotsugyou Shashin Part 4 - Ashita,2016,1,57,movie,finished
6501,Kuroko no Basket: Last Game,2017,1,90,movie,finished
1750,Bakuman.,2010,25,24,tv,finished
6221,Kaze Tachinu,2013,1,126,movie,finished
416,Dragon Ball Z,1989,291,24,tv,finished
2,Trigun,1998,26,24,tv,finished
2595,Working!!!,2015,13,24,tv,finished
6455,Kyoukai no Kanata: I'LL BE HERE - Mirai-hen,2015,1,90,movie,finished
2795,Boku no Hero Academia,2016,13,24,tv,finished
3424,High Score Girl II,2019,9,24,tv,finished
16058,Shiguang Dailiren Fan Wai Pian,,1,24,ona,finished
12349,Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku: Kitto, Onnanoko wa Osatou to Spice to Suteki na Nanika de Dekiteiru,2016,1,24,ova,finished
7215,Digimon Adventure: Last Evolution Kizuna,2020,1,94,movie,finished
233,Serial Experiments Lain,1998,13,23,tv,finished
2180,Kamisama Hajimemashita,2012,13,24,tv,finished
3744,IDOLiSH7: Third BEAT!,2021,13,24,tv,finished
2348,Diamond no Ace,2013,75,24,tv,finished
539,Hachimitsu to Clover II,2006,12,23,tv,finished
2986,Ballroom e Youkoso,2017,24,25,tv,finished
2993,Thunderbolt Fantasy: Touriken Yuuki,2016,13,23,tv,finished
6413,Tamako Love Story,2014,1,78,movie,finished
3395,Kanata no Astra,2019,12,24,tv,finished
11172,xxxHOLiC Rou,2010,2,35,ova,finished
10310,Tsubasa: Tokyo Revelations,2007,3,30,ova,finished
9502,Hunter x Hunter: Greed Island Final,2004,14,24,ova,finished
9501,Hunter x Hunter: Greed Island,2003,8,22,ova,finished
9180,Yuri!!! on Ice Special,2017,1,3,special,finished
257,Haibane Renmei,2002,13,24,tv,finished
8361,Gintama: Jump Festa 2008 Special,2009,1,10,special,finished
1677,Durarara!!,2010,24,24,tv,finished
967,Romeo no Aoi Sora,1995,33,23,tv,finished
2725,Akagami no Shirayuki-hime 2,2016,12,24,tv,finished
2573,Akatsuki no Yona,2014,24,24,tv,finished
3028,Gakuen Babysitters,2018,12,24,tv,finished
6432,Gintama: Yorinuki Gintama-san on Theater 2D,2012,2,96,movie,finished
2086,Hyouka,2012,22,26,tv,finished
6091,Berserk: Ougon Jidaihen III - Kourin,2013,1,110,movie,finished
2271,Gin no Saji,2013,11,24,tv,finished
6116,One Piece Film: Z,2012,1,107,movie,finished
7231,Quanzhi Gaoshou: Dianfeng Rongyao,,1,98,movie,finished
2238,Toaru Kagaku no Railgun S,2013,24,24,tv,finished
5984,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,2012,1,150,movie,finished
3418,Jibaku Shounen Hanako-kun,2020,12,24,tv,finished
7782,Sword Art Online: Progressive - Hoshinaki Yoru no Aria,2021,1,97,movie,finished
7334,Luo Xiaohei Zhan Ji (Movie),,1,101,movie,finished
1263,Kaiba,2008,12,24,tv,finished
8,Initial D Fourth Stage,2004,24,27,tv,finished
7134,Kidou Senshi Gundam: Senkou no Hathaway,2021,1,95,movie,finished
6171,Kara no Kyoukai: Mirai Fukuin,2013,1,89,movie,finished
158,Koukyoushihen Eureka Seven,2005,50,24,tv,finished
15891,Ahoy!! Warera Houshou Kaizoku-dan☆,,1,2,music,finished
4797,PUI PUI Molcar,2021,12,3,tv short,finished
15706,Inochi no Tabekata,,1,4,music,finished
15511,veil,2019,1,4,music,finished
15830,Prayer X,,1,3,music,finished
3083,Thunderbolt Fantasy: Touriken Yuuki 2,2018,13,25,tv,finished
1608,Kimi ni Todoke,2009,25,23,tv,finished
1776,Kuragehime,2010,11,22,tv,finished
3069,Tate no Yuusha no Nariagari,2019,25,24,tv,finished
3848,Vanitas no Carte,2021,12,23,tv,finished
1397,Nodame Cantabile: Paris-hen,2008,11,23,tv,finished
14266,Wan Sheng Jie 2,,12,5,ona,finished
2186,Yahari Ore no Seishun Love Come wa Machigatteiru.,2013,13,24,tv,finished
2196,Initial D Fifth Stage,2012,14,27,tv,finished
48,Mahou Shoujo Lyrical Nanoha A's,2005,13,25,tv,finished
90,Hikaru no Go,2001,75,23,tv,finished
13893,Aggressive Retsuko Season 3,2020,10,15,ona,finished
193,Akage no Anne,1979,50,25,tv,finished
13772,Cike Wu Liuqi,,10,14,ona,finished
7134,Kidou Senshi Gundam: Senkou no Hathaway,2021,1,95,movie,finished
6669,Girls und Panzer: Saishuushou,2017,1,47,movie,finished
3325,Gochuumon wa Usagi Desu ka? BLOOM,2020,12,25,tv,finished
5720,Eve no Jikan Movie,2010,1,106,movie,finished
3696,Wonder Egg Priority,2021,12,23,tv,finished
986,Kidou Senshi Gundam 00,2007,25,24,tv,finished
13206,ReLife,2016,13,24,ona,finished
3737,World Trigger 3rd Season,2021,12,23,tv,releasing
1564,K-ON!,2009,13,24,tv,finished
6703,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,2019,4,25,movie,finished
5532,Summer Wars,2009,1,114,movie,finished
13644,Douluo Dalu: Jingying Sai,,52,20,ona,finished
12962,Eve no Jikan,2008,6,19,ona,finished
12564,Gakuen Babysitters OVA,2018,1,27,ova,finished
12604,High Score Girl: EXTRA STAGE,2019,3,25,ova,finished
5593,Meitantei Conan: Tenkuu no Lost Ship,2010,1,102,movie,finished
2523,Durarara!!x2 Shou,2015,12,24,tv,finished
